Step,Computing,Communication(Not Overlapped),Overlapped,Communication,Free,Stage,Bubble,Communication(Not Overlapped and Exclude Receive),Preparing
13,51.7,0,0,0,405.48,457.25,0,0,150.75
14,45.26,0,0,0,387.03999999999996,432.25,0,0,125.75
15,51.36,0,0,0,403.02,454.25,0,0,121.0
16,37.02,0,0,0,415.36,452.25,0,0,150.0
17,32.78,0,0,0,393.84000000000003,426.75,0,0,136.25
18,39.22,0,0,0,408.48,447.75,0,0,128.25
19,38.18,0,0,0,396.68,434.75,0,0,119.75
20,36.0,0,0,0,401.26,437.25,0,0,132.0
21,40.080000000000005,0,0,0,395.15999999999997,435.5,0,0,132.5
22,34.0,0,0,0,381.14,415.25,0,0,126.25
23,30.22,0,0,0,390.32000000000005,420.5,0,0,116.5
24,35.94,0,0,0,393.54,429.5,0,0,115.0
25,34.620000000000005,0,0,0,413.6,448.0,0,0,126.75
26,33.5,0,0,0,376.7,410.0,0,0,128.75
27,38.239999999999995,0,0,0,388.96000000000004,427.25,0,0,114.0
28,35.8,0,0,0,386.36,422.25,0,0,119.5
29,30.98,0,0,0,396.91999999999996,427.75,0,0,117.5
30,37.32,0,0,0,381.72,419.25,0,0,120.0
31,33.980000000000004,0,0,0,379.26,413.25,0,0,113.75
32,34.28,0,0,0,385.6,419.75,0,0,114.25
33,36.5,0,0,0,397.92,434.25,0,0,117.75
34,33.68,0,0,0,423.28,457.0,0,0,115.25
35,29.48,0,0,0,401.0,430.25,0,0,119.25
36,36.78,0,0,0,396.24,433.0,0,0,128.25
37,34.839999999999996,0,0,0,413.24,448.0,0,0,128.0
38,32.64,0,0,0,392.84,425.5,0,0,123.0
39,37.58,0,0,0,385.52,423.0,0,0,126.25
40,33.54,0,0,0,391.08,424.75,0,0,120.75
41,28.779999999999998,0,0,0,387.58,416.5,0,0,115.75
42,35.1,0,0,0,178.82,214.0,0,0,114.25
