Step,Computing,Communication(Not Overlapped),Overlapped,Communication,Free,Stage,Bubble,Communication(Not Overlapped and Exclude Receive),Preparing
13,4.96,0,0,0,444.41999999999996,449.25,0,0,94.0
14,5.0,0,0,0,406.74,411.75,0,0,92.0
15,4.92,0,0,0,377.5,382.5,0,0,90.5
16,4.84,0,0,0,378.46,383.5,0,0,65.0
17,4.82,0,0,0,396.52,401.5,0,0,72.0
18,4.88,0,0,0,400.28,405.0,0,0,89.75
19,5.08,0,0,0,374.52,379.75,0,0,69.75
20,4.359999999999999,0,0,0,387.64,392.0,0,0,61.25
21,4.2,0,0,0,364.20000000000005,368.5,0,0,65.75
22,4.12,0,0,0,390.84000000000003,395.0,0,0,71.5
23,4.3,0,0,0,374.88,379.25,0,0,68.75
24,4.18,0,0,0,363.58,367.75,0,0,67.0
25,4.18,0,0,0,403.22,407.25,0,0,60.5
26,4.28,0,0,0,401.08000000000004,405.5,0,0,97.75
27,4.38,0,0,0,375.44,380.0,0,0,90.75
28,4.42,0,0,0,352.0,356.5,0,0,71.25
29,4.24,0,0,0,383.82,388.0,0,0,65.75
30,4.46,0,0,0,390.5,395.0,0,0,70.0
31,4.300000000000001,0,0,0,358.56,362.75,0,0,75.5
32,4.36,0,0,0,359.56,364.0,0,0,53.25
33,4.4,0,0,0,364.44,369.0,0,0,56.0
34,4.4399999999999995,0,0,0,369.72,374.25,0,0,52.75
35,4.4,0,0,0,349.96000000000004,354.5,0,0,63.5
36,4.26,0,0,0,356.22,360.25,0,0,55.5
37,4.24,0,0,0,382.52,386.75,0,0,54.25
38,4.279999999999999,0,0,0,358.02,362.5,0,0,70.5
39,4.24,0,0,0,383.12,387.25,0,0,52.25
40,4.32,0,0,0,373.94,378.25,0,0,76.25
41,4.1,0,0,0,392.78,397.0,0,0,72.75
42,4.18,0,0,0,198.22,202.25,0,0,68.5
