Step,Computing,Communication(Not Overlapped),Overlapped,Communication,Free,Stage,Bubble,Communication(Not Overlapped and Exclude Receive),Preparing
13,4.779999999999999,0,0,0,404.38,409.25,0,0,95.25
14,5.04,0,0,0,372.70000000000005,377.75,0,0,75.0
15,4.82,0,0,0,378.94,383.75,0,0,62.25
16,4.88,0,0,0,396.4,401.25,0,0,65.25
17,4.859999999999999,0,0,0,378.72,383.5,0,0,80.5
18,4.74,0,0,0,417.22,422.0,0,0,65.75
19,4.8,0,0,0,415.32,420.25,0,0,93.25
20,4.32,0,0,0,411.42,415.5,0,0,100.75
21,4.34,0,0,0,366.53999999999996,370.75,0,0,80.25
22,4.220000000000001,0,0,0,411.98,416.0,0,0,73.0
23,4.279999999999999,0,0,0,369.44000000000005,373.5,0,0,99.25
24,4.38,0,0,0,381.34000000000003,385.75,0,0,59.0
25,4.42,0,0,0,377.78,382.0,0,0,65.25
26,4.32,0,0,0,393.48,398.0,0,0,61.75
27,4.44,0,0,0,383.86,388.25,0,0,69.0
28,4.359999999999999,0,0,0,374.54,378.75,0,0,85.25
29,4.4,0,0,0,409.5,414.0,0,0,77.25
30,4.46,0,0,0,373.26,377.75,0,0,97.5
31,4.32,0,0,0,369.7,374.0,0,0,67.5
32,4.220000000000001,0,0,0,358.38,362.5,0,0,68.0
33,4.16,0,0,0,384.78,389.25,0,0,59.5
34,4.42,0,0,0,385.42,389.75,0,0,65.0
35,4.220000000000001,0,0,0,366.08,370.25,0,0,79.0
36,4.34,0,0,0,412.04,416.25,0,0,78.25
37,4.26,0,0,0,411.5,415.75,0,0,90.5
38,4.16,0,0,0,371.48,375.75,0,0,97.0
39,4.18,0,0,0,418.20000000000005,422.5,0,0,60.75
40,4.2,0,0,0,390.8,395.25,0,0,61.5
41,4.18,0,0,0,398.62,403.0,0,0,66.0
42,4.26,0,0,0,201.68,205.75,0,0,90.0
