Step,Computing,Communication(Not Overlapped),Overlapped,Communication,Free,Stage,Bubble,Communication(Not Overlapped and Exclude Receive),Preparing
13,4.9,0,0,0,455.12,460.25,0,0,2292.75
14,4.82,0,0,0,369.18,374.25,0,0,77.75
15,4.96,0,0,0,413.72,418.75,0,0,75.5
16,5.02,0,0,0,368.92,374.0,0,0,116.75
17,5.0,0,0,0,600.96,606.0,0,0,75.0
18,4.98,0,0,0,328.62,333.5,0,0,311.75
19,4.88,0,0,0,412.03999999999996,417.0,0,0,97.25
20,4.220000000000001,0,0,0,362.98,367.25,0,0,107.75
21,4.3,0,0,0,361.0,365.25,0,0,86.5
22,4.2,0,0,0,372.08000000000004,376.25,0,0,82.5
23,4.3,0,0,0,394.79999999999995,399.0,0,0,64.5
24,4.2,0,0,0,373.28,377.5,0,0,78.0
25,4.140000000000001,0,0,0,365.53999999999996,369.75,0,0,56.25
26,4.26,0,0,0,387.12,391.25,0,0,57.0
27,4.28,0,0,0,400.78,405.0,0,0,76.5
28,4.28,0,0,0,376.55999999999995,380.75,0,0,79.5
29,4.28,0,0,0,365.1,369.5,0,0,88.75
30,4.32,0,0,0,341.3,345.5,0,0,77.25
31,4.54,0,0,0,357.28,361.75,0,0,57.75
32,4.380000000000001,0,0,0,349.78,354.25,0,0,62.5
33,4.32,0,0,0,344.56,349.0,0,0,68.5
34,4.32,0,0,0,329.6,334.25,0,0,62.0
35,4.42,0,0,0,355.86,360.25,0,0,52.75
36,4.42,0,0,0,339.76,344.25,0,0,59.25
37,4.54,0,0,0,332.84000000000003,337.25,0,0,61.25
38,4.380000000000001,0,0,0,371.88,376.0,0,0,57.75
39,4.220000000000001,0,0,0,368.29999999999995,372.25,0,0,74.0
40,4.300000000000001,0,0,0,350.84000000000003,355.0,0,0,67.5
41,4.18,0,0,0,349.68,353.75,0,0,63.5
42,4.28,0,0,0,191.22,195.5,0,0,70.0
