Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclnnAdd,399.08,30,13.303,9.25,25.02,19.808
host,acl,aclrtSynchronizeDeviceWithTimeout,59.27,1,59.27,59.27,59.27,0
host,node,launch,477.19,60,7.953,4.67,21.55,13.281
