OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
Add,AI_VECTOR_CORE,30,50.6,1.52,1.686,2.2,54.269
triton_kernel_add,AI_VECTOR_CORE,30,42.64,1.3,1.421,1.62,45.731
