Step,Computing,Communication(Not Overlapped),Overlapped,Communication,Free,Stage,Bubble,Communication(Not Overlapped and Exclude Receive),Preparing
13,3.58,0,0,0,404.02,407.75,0,0,116.5
14,3.8200000000000003,0,0,0,382.9,387.0,0,0,78.0
15,3.48,0,0,0,395.92,399.5,0,0,68.0
16,3.4,0,0,0,419.1,422.5,0,0,71.75
17,3.32,0,0,0,864.7,868.0,0,0,84.0
18,3.0,0,0,0,583.54,586.5,0,0,161.75
19,3.42,0,0,0,387.12,390.5,0,0,66.75
20,3.12,0,0,0,367.2,370.5,0,0,79.75
21,2.88,0,0,0,360.04,362.75,0,0,60.75
22,2.8600000000000003,0,0,0,341.54,344.5,0,0,59.5
23,3.16,0,0,0,377.03999999999996,380.25,0,0,55.5
24,2.92,0,0,0,355.28,358.0,0,0,54.75
25,2.96,0,0,0,349.74,353.0,0,0,58.25
26,3.0,0,0,0,5907.0199999999995,5910.25,0,0,63.5
27,3.08,0,0,0,342.46,345.5,0,0,200.5
28,3.1399999999999997,0,0,0,369.36,372.5,0,0,65.75
29,3.0599999999999996,0,0,0,340.96000000000004,344.25,0,0,79.5
30,3.0,0,0,0,392.06,395.0,0,0,62.5
31,3.08,0,0,0,349.5,352.5,0,0,56.75
32,3.02,0,0,0,369.20000000000005,372.25,0,0,64.5
33,3.3,0,0,0,386.14,389.5,0,0,71.0
34,3.2199999999999998,0,0,0,325.8,329.0,0,0,87.25
35,2.96,0,0,0,340.26,343.25,0,0,52.25
36,2.88,0,0,0,340.84000000000003,343.5,0,0,51.5
37,2.98,0,0,0,347.84000000000003,350.5,0,0,51.5
38,2.92,0,0,0,360.62,363.5,0,0,64.75
39,2.98,0,0,0,365.14,368.0,0,0,73.75
40,3.0,0,0,0,349.14,352.25,0,0,65.25
41,2.8200000000000003,0,0,0,376.06,378.75,0,0,61.75
42,2.88,0,0,0,191.5,194.25,0,0,68.75
