Step,Computing,Communication(Not Overlapped),Overlapped,Communication,Free,Stage,Bubble,Communication(Not Overlapped and Exclude Receive),Preparing
13,3.4000000000000004,0,0,0,428.22,431.5,0,0,114.25
14,3.48,0,0,0,390.6,394.0,0,0,78.5
15,3.56,0,0,0,374.03999999999996,377.5,0,0,58.0
16,3.2199999999999998,0,0,0,402.36,405.75,0,0,50.5
17,3.48,0,0,0,404.28,408.0,0,0,71.75
18,3.44,0,0,0,413.34000000000003,416.75,0,0,71.5
19,3.56,0,0,0,396.28,399.75,0,0,68.75
20,3.1799999999999997,0,0,0,379.46,382.75,0,0,62.5
21,3.0,0,0,0,386.08,389.0,0,0,47.75
22,2.98,0,0,0,429.08,432.0,0,0,57.25
23,2.98,0,0,0,392.54,395.5,0,0,74.75
24,3.14,0,0,0,387.53999999999996,390.75,0,0,66.5
25,3.08,0,0,0,399.96,403.0,0,0,66.25
26,3.2,0,0,0,402.82,406.0,0,0,59.5
27,2.92,0,0,0,391.82,394.75,0,0,68.5
28,2.9000000000000004,0,0,0,399.86,402.75,0,0,66.75
29,2.98,0,0,0,396.94,399.75,0,0,66.25
30,2.96,0,0,0,381.20000000000005,384.0,0,0,63.5
31,3.02,0,0,0,393.58000000000004,396.75,0,0,68.25
32,3.08,0,0,0,394.84000000000003,397.75,0,0,63.5
33,2.88,0,0,0,405.9,409.0,0,0,50.75
34,2.98,0,0,0,374.76,377.75,0,0,65.0
35,3.0999999999999996,0,0,0,376.96,380.0,0,0,59.0
36,2.92,0,0,0,382.28,385.0,0,0,47.0
37,3.0,0,0,0,513.5,516.5,0,0,54.5
38,2.92,0,0,0,323.08000000000004,325.75,0,0,175.5
39,3.28,0,0,0,377.24,380.5,0,0,71.75
40,3.12,0,0,0,432.62,435.5,0,0,47.25
41,2.9400000000000004,0,0,0,399.54,402.25,0,0,96.25
42,2.96,0,0,0,238.5,241.25,0,0,68.75
