Step,Computing,Communication(Not Overlapped),Overlapped,Communication,Free,Stage,Bubble,Communication(Not Overlapped and Exclude Receive),Preparing
13,3.8560000000000003,0,0,0,468.664,472.5,0,0,98.0
14,3.7760000000000002,0,0,0,349.18399999999997,353.0,0,0,111.75
15,4.0,0,0,0,346.976,351.0,0,0,94.0
16,3.704,0,0,0,360.93600000000004,364.75,0,0,85.25
17,3.656,0,0,0,362.288,366.0,0,0,69.5
18,3.3200000000000003,0,0,0,362.536,366.0,0,0,62.0
19,3.96,0,0,0,368.944,372.75,0,0,64.5
20,3.216,0,0,0,371.4,374.75,0,0,77.0
21,3.44,0,0,0,396.2,399.5,0,0,76.0
22,3.3200000000000003,0,0,0,364.84000000000003,368.25,0,0,89.25
23,3.3600000000000003,0,0,0,442.72,446.0,0,0,70.25
24,3.2,0,0,0,395.544,399.0,0,0,86.5
25,3.2720000000000002,0,0,0,348.22400000000005,351.5,0,0,100.75
26,3.2880000000000003,0,0,0,384.216,387.5,0,0,60.25
27,3.3520000000000003,0,0,0,354.248,357.75,0,0,98.75
28,3.3760000000000003,0,0,0,378.464,382.0,0,0,57.75
29,3.6559999999999997,0,0,0,354.82399999999996,358.5,0,0,77.25
30,3.16,0,0,0,364.76,367.75,0,0,77.25
31,3.136,0,0,0,355.664,358.75,0,0,75.75
32,3.24,0,0,0,373.28,376.5,0,0,65.75
33,3.2800000000000002,0,0,0,367.896,371.25,0,0,78.25
34,3.3200000000000003,0,0,0,421.98400000000004,425.0,0,0,70.25
35,3.3200000000000003,0,0,0,395.36,398.75,0,0,65.75
36,3.16,0,0,0,345.92,349.0,0,0,89.75
37,3.2,0,0,0,368.08,371.25,0,0,58.25
38,3.3200000000000003,0,0,0,352.976,356.25,0,0,66.25
39,3.2,0,0,0,362.48,365.75,0,0,65.5
40,3.24,0,0,0,377.12,380.25,0,0,71.0
41,3.384,0,0,0,369.496,373.0,0,0,76.5
42,3.3600000000000003,0,0,0,198.24,201.5,0,0,71.0
