OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
Add,AI_VECTOR_CORE,30,55.184,1.68,1.839,2.36,54.064
triton_kernel_add,AI_VECTOR_CORE,30,46.888,1.44,1.562,1.696,45.936
