Step,Computing,Communication(Not Overlapped),Overlapped,Communication,Free,Stage,Bubble,Communication(Not Overlapped and Exclude Receive),Preparing
13,4.416,0,0,0,413.96000000000004,418.5,0,0,90.0
14,3.7840000000000003,0,0,0,361.12,364.75,0,0,99.25
15,3.8000000000000003,0,0,0,348.376,352.25,0,0,76.0
16,3.7600000000000002,0,0,0,354.28,358.25,0,0,66.0
17,3.88,0,0,0,366.424,370.5,0,0,60.0
18,3.2960000000000003,0,0,0,356.944,360.0,0,0,55.5
19,3.864,0,0,0,362.336,366.25,0,0,52.75
20,3.176,0,0,0,381.67999999999995,385.0,0,0,57.5
21,3.24,0,0,0,385.04,388.0,0,0,66.0
22,3.2640000000000002,0,0,0,356.016,359.25,0,0,86.0
23,3.184,0,0,0,354.336,357.5,0,0,74.0
24,3.2,0,0,0,351.03999999999996,354.25,0,0,63.0
25,3.2800000000000002,0,0,0,364.664,368.0,0,0,54.5
26,3.3200000000000003,0,0,0,367.24,370.5,0,0,57.0
27,3.3360000000000003,0,0,0,358.024,361.25,0,0,67.75
28,3.232,0,0,0,368.288,371.5,0,0,58.0
29,3.3440000000000003,0,0,0,372.112,375.25,0,0,71.0
30,3.2800000000000002,0,0,0,364.344,367.75,0,0,75.25
31,3.3760000000000003,0,0,0,368.4,371.75,0,0,63.5
32,3.528,0,0,0,350.456,354.0,0,0,67.75
33,3.3120000000000003,0,0,0,359.504,362.75,0,0,46.0
34,3.248,0,0,0,344.77599999999995,348.25,0,0,65.0
35,3.24,0,0,0,362.296,365.5,0,0,49.5
36,3.224,0,0,0,345.616,349.0,0,0,61.0
37,3.3040000000000003,0,0,0,357.696,360.75,0,0,49.0
38,3.2560000000000002,0,0,0,351.06399999999996,354.25,0,0,64.25
39,3.2560000000000002,0,0,0,345.568,348.75,0,0,50.0
40,3.24,0,0,0,350.77599999999995,354.0,0,0,46.0
41,3.216,0,0,0,348.36800000000005,351.75,0,0,45.5
42,3.456,0,0,0,209.184,212.75,0,0,52.75
