Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,triton_kernel_add,AI_VECTOR_CORE,30,644.272,21.264,21.475,21.84,90.546
0,Add,AI_VECTOR_CORE,30,67.272,1.96,2.242,2.624,9.454
