Step,Computing,Communication(Not Overlapped),Overlapped,Communication,Free,Stage,Bubble,Communication(Not Overlapped and Exclude Receive),Preparing
13,5.984,0,0,0,379.24,385.0,0,0,126.0
14,5.792,0,0,0,372.568,378.25,0,0,74.0
15,6.096,0,0,0,352.584,358.75,0,0,87.25
16,6.096,0,0,0,344.96,351.0,0,0,80.25
17,6.184,0,0,0,384.64,391.0,0,0,69.25
18,3.12,0,0,0,342.88,346.0,0,0,90.0
19,4.256,0,0,0,373.0,377.25,0,0,76.5
20,3.2640000000000002,0,0,0,338.536,341.75,0,0,68.75
21,3.144,0,0,0,360.2,363.5,0,0,54.0
22,3.216,0,0,0,352.4,355.5,0,0,66.0
23,3.144,0,0,0,349.17600000000004,352.25,0,0,67.25
24,3.2800000000000002,0,0,0,365.15999999999997,368.25,0,0,64.5
25,3.2640000000000002,0,0,0,338.0,341.5,0,0,74.5
26,3.24,0,0,0,349.15999999999997,352.5,0,0,58.75
27,3.08,0,0,0,347.656,350.5,0,0,73.0
28,3.104,0,0,0,336.256,339.25,0,0,57.25
29,3.04,0,0,0,351.86400000000003,355.0,0,0,60.25
30,3.096,0,0,0,378.36,381.25,0,0,67.5
31,3.12,0,0,0,343.32,346.5,0,0,77.5
32,3.16,0,0,0,348.82399999999996,352.0,0,0,66.5
33,2.976,0,0,0,369.91999999999996,373.25,0,0,65.25
34,3.016,0,0,0,341.728,344.75,0,0,78.75
35,3.2,0,0,0,351.456,354.75,0,0,59.25
36,3.096,0,0,0,338.464,341.5,0,0,73.75
37,3.096,0,0,0,365.06399999999996,368.0,0,0,66.0
38,3.104,0,0,0,344.44,347.25,0,0,75.25
39,3.176,0,0,0,336.68,339.75,0,0,66.0
40,3.224,0,0,0,339.336,342.75,0,0,50.25
41,3.0,0,0,0,368.24,371.25,0,0,51.5
42,3.136,0,0,0,206.024,209.25,0,0,72.75
