Step,Computing,Communication(Not Overlapped),Overlapped,Communication,Free,Stage,Bubble,Communication(Not Overlapped and Exclude Receive),Preparing
13,5.140000000000001,0,0,0,404.32,409.5,0,0,101.75
14,5.12,0,0,0,382.24,387.25,0,0,62.0
15,5.08,0,0,0,402.70000000000005,408.0,0,0,55.75
16,5.300000000000001,0,0,0,404.14,409.5,0,0,74.5
17,5.2,0,0,0,394.17999999999995,399.25,0,0,75.5
18,3.42,0,0,0,389.26,392.75,0,0,56.5
19,3.86,0,0,0,400.03999999999996,404.0,0,0,55.5
20,2.96,0,0,0,388.24,391.25,0,0,66.5
21,2.96,0,0,0,405.64,408.5,0,0,73.25
22,2.98,0,0,0,399.94,403.0,0,0,72.25
23,3.02,0,0,0,385.5,388.5,0,0,74.75
24,3.16,0,0,0,389.14,392.25,0,0,59.25
25,2.94,0,0,0,399.14,402.0,0,0,54.5
26,2.98,0,0,0,402.91999999999996,405.75,0,0,68.75
27,3.0,0,0,0,382.72,385.75,0,0,80.5
28,2.9800000000000004,0,0,0,399.06,402.0,0,0,69.25
29,3.04,0,0,0,402.34000000000003,405.25,0,0,67.25
30,3.02,0,0,0,392.4,395.5,0,0,77.0
31,3.24,0,0,0,384.16,387.25,0,0,69.75
32,3.16,0,0,0,383.22,386.25,0,0,59.75
33,3.0,0,0,0,393.24,396.25,0,0,54.5
34,3.0999999999999996,0,0,0,365.46,368.5,0,0,70.5
35,3.0599999999999996,0,0,0,411.78,414.75,0,0,55.0
36,3.2199999999999998,0,0,0,394.62,397.75,0,0,73.5
37,3.3600000000000003,0,0,0,393.72,397.25,0,0,56.5
38,3.08,0,0,0,397.32,400.5,0,0,59.5
39,2.9400000000000004,0,0,0,383.94,387.0,0,0,55.0
40,2.8600000000000003,0,0,0,403.20000000000005,406.0,0,0,58.5
41,2.9400000000000004,0,0,0,372.15999999999997,375.0,0,0,76.75
42,2.98,0,0,0,213.26,216.5,0,0,55.5
