Step,Computing,Communication(Not Overlapped),Overlapped,Communication,Free,Stage,Bubble,Communication(Not Overlapped and Exclude Receive),Preparing
13,40.856,0,0,0,407.904,448.75,0,0,159.0
14,38.024,0,0,0,375.952,414.0,0,0,138.25
15,33.664,0,0,0,394.05600000000004,427.75,0,0,123.25
16,34.44,0,0,0,405.064,439.5,0,0,135.0
17,37.6,0,0,0,380.44,418.25,0,0,126.5
18,29.759999999999998,0,0,0,392.6,422.5,0,0,124.75
19,37.952,0,0,0,425.344,463.25,0,0,121.5
20,33.32,0,0,0,398.03999999999996,431.5,0,0,151.25
21,30.608,0,0,0,419.512,450.0,0,0,135.75
22,33.016,0,0,0,389.464,422.5,0,0,145.25
23,39.984,0,0,0,421.4,461.5,0,0,123.75
24,31.744,0,0,0,393.23199999999997,425.25,0,0,164.75
25,36.08,0,0,0,378.64,415.0,0,0,124.5
26,34.864,0,0,0,376.536,411.5,0,0,120.75
27,30.343999999999998,0,0,0,394.92,425.25,0,0,119.5
28,31.496,0,0,0,431.024,462.5,0,0,120.75
29,38.0,0,0,0,385.13599999999997,423.25,0,0,168.5
30,28.28,0,0,0,384.6,412.75,0,0,132.0
31,37.784,0,0,0,384.96000000000004,422.75,0,0,114.75
32,35.2,0,0,0,401.536,436.75,0,0,117.0
33,29.904,0,0,0,397.81600000000003,427.75,0,0,140.75
34,32.263999999999996,0,0,0,414.76,447.0,0,0,118.5
35,37.92,0,0,0,413.44000000000005,451.25,0,0,139.5
36,29.456,0,0,0,413.624,443.0,0,0,134.5
37,36.784,0,0,0,425.192,462.0,0,0,132.0
38,32.88,0,0,0,401.72,434.5,0,0,153.0
39,29.416,0,0,0,404.24800000000005,433.75,0,0,138.0
40,31.360000000000003,0,0,0,395.64,426.75,0,0,136.25
41,37.656,0,0,0,688.024,725.5,0,0,127.25
42,28.663999999999998,0,0,0,194.376,223.0,0,0,325.25
