Step,Computing,Communication(Not Overlapped),Overlapped,Communication,Free,Stage,Bubble,Communication(Not Overlapped and Exclude Receive),Preparing
13,3.472,0,0,0,379.408,382.75,0,0,89.75
14,3.496,0,0,0,353.76,357.25,0,0,63.5
15,3.504,0,0,0,338.736,342.25,0,0,56.25
16,3.3040000000000003,0,0,0,359.92,363.25,0,0,57.25
17,3.376,0,0,0,356.96,360.5,0,0,68.0
18,3.584,0,0,0,356.376,360.0,0,0,70.5
19,3.56,0,0,0,327.56,331.0,0,0,58.25
20,2.976,0,0,0,335.424,338.25,0,0,48.0
21,2.984,0,0,0,324.456,327.5,0,0,55.25
22,3.024,0,0,0,351.176,354.25,0,0,48.5
23,3.064,0,0,0,355.48,358.5,0,0,53.25
24,3.056,0,0,0,339.264,342.5,0,0,78.25
25,2.936,0,0,0,336.32000000000005,339.25,0,0,66.25
26,3.144,0,0,0,342.08,345.5,0,0,51.75
27,3.056,0,0,0,350.44,353.5,0,0,50.5
28,3.16,0,0,0,344.544,347.75,0,0,69.5
29,3.176,0,0,0,377.504,380.75,0,0,66.25
30,3.216,0,0,0,333.104,336.25,0,0,76.25
31,2.936,0,0,0,329.48,332.5,0,0,57.0
32,2.904,0,0,0,352.36,355.0,0,0,50.0
33,3.0,0,0,0,345.81600000000003,348.75,0,0,64.75
34,3.0,0,0,0,342.15999999999997,345.0,0,0,51.0
35,3.024,0,0,0,346.616,349.5,0,0,56.75
36,3.04,0,0,0,363.91999999999996,367.0,0,0,69.75
37,2.888,0,0,0,342.416,345.25,0,0,75.75
38,2.984,0,0,0,349.712,352.75,0,0,54.0
39,3.008,0,0,0,330.23199999999997,333.25,0,0,63.5
40,2.92,0,0,0,367.15999999999997,370.0,0,0,49.25
41,2.92,0,0,0,354.784,357.75,0,0,69.25
42,3.032,0,0,0,187.584,190.75,0,0,57.5
