Step,Computing,Communication(Not Overlapped),Overlapped,Communication,Free,Stage,Bubble,Communication(Not Overlapped and Exclude Receive),Preparing
13,23.664,0,0,0,1486.416,1510.25,0,0,87.5
14,24.279999999999998,0,0,0,392.104,416.25,0,0,77.75
15,23.855999999999998,0,0,0,322.56,346.5,0,0,59.5
16,23.968,0,0,0,338.63199999999995,362.75,0,0,54.0
17,24.048,0,0,0,358.616,382.75,0,0,70.0
18,24.44,0,0,0,329.13599999999997,353.5,0,0,95.0
19,23.936,0,0,0,314.128,338.0,0,0,71.75
20,24.064,0,0,0,311.272,335.25,0,0,51.75
21,23.904,0,0,0,372.72,396.5,0,0,49.5
22,24.064,0,0,0,322.872,347.0,0,0,70.25
23,23.48,0,0,0,325.464,349.0,0,0,61.5
24,24.016,0,0,0,339.464,363.5,0,0,70.25
25,23.816,0,0,0,334.44,358.25,0,0,76.25
26,24.12,0,0,0,332.424,356.5,0,0,69.5
27,23.48,0,0,0,310.96000000000004,334.5,0,0,68.75
28,23.816000000000003,0,0,0,319.12,343.0,0,0,49.5
29,23.44,0,0,0,333.384,356.75,0,0,56.5
30,23.592,0,0,0,329.76800000000003,353.25,0,0,58.25
31,23.536,0,0,0,320.52,344.0,0,0,66.25
32,23.624,0,0,0,323.08,347.0,0,0,63.75
33,23.296,0,0,0,321.304,344.75,0,0,60.5
34,23.576,0,0,0,308.86400000000003,332.25,0,0,59.5
35,23.456,0,0,0,322.664,346.25,0,0,50.5
36,23.616,0,0,0,323.224,346.75,0,0,65.25
37,23.375999999999998,0,0,0,323.48,347.0,0,0,50.75
38,23.744,0,0,0,330.056,353.75,0,0,63.5
39,23.344,0,0,0,299.24,322.5,0,0,69.5
40,23.36,0,0,0,324.28,347.75,0,0,49.25
41,23.344,0,0,0,329.472,352.75,0,0,56.25
42,23.287999999999997,0,0,0,191.776,215.0,0,0,68.0
