Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,triton_kernel_add,AI_VECTOR_CORE,30,68.02,2.16,2.267,2.52,51.228
0,Add,AI_VECTOR_CORE,30,64.76,1.94,2.158,2.56,48.772
