Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclnnAdd,412.84,30,13.761,9.57,30.16,26.833
host,acl,aclrtSynchronizeDeviceWithTimeout,100.33,1,100.33,100.33,100.33,0
host,node,launch,450.52,60,7.509,4.5,20.09,12.442
