Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,Add,AI_VECTOR_CORE,30,52.36,1.6,1.745,2.064,54.243
0,triton_kernel_add,AI_VECTOR_CORE,30,44.168,1.376,1.472,1.56,45.757
