Step,Computing,Communication(Not Overlapped),Overlapped,Communication,Free,Stage,Bubble,Communication(Not Overlapped and Exclude Receive),Preparing
13,3.62,0,0,0,372.18,375.75,0,0,92.25
14,3.74,0,0,0,366.12,369.75,0,0,53.5
15,3.8400000000000003,0,0,0,332.14,336.0,0,0,56.75
16,3.72,0,0,0,355.1,358.75,0,0,51.75
17,3.58,0,0,0,351.64,355.25,0,0,63.0
18,3.2,0,0,0,354.64,357.75,0,0,63.75
19,3.72,0,0,0,369.48,373.25,0,0,51.25
20,3.3200000000000003,0,0,0,321.58,325.0,0,0,64.5
21,3.3200000000000003,0,0,0,358.62,362.0,0,0,51.5
22,3.0599999999999996,0,0,0,341.36,344.25,0,0,68.0
23,3.08,0,0,0,347.46,350.75,0,0,54.0
24,3.0599999999999996,0,0,0,331.70000000000005,334.75,0,0,64.0
25,3.1399999999999997,0,0,0,345.55999999999995,349.0,0,0,45.25
26,3.1799999999999997,0,0,0,342.34000000000003,345.5,0,0,48.0
27,3.1799999999999997,0,0,0,319.72,322.75,0,0,57.0
28,3.04,0,0,0,342.84000000000003,346.0,0,0,47.25
29,3.02,0,0,0,352.84000000000003,356.0,0,0,58.5
30,3.1799999999999997,0,0,0,339.62,342.75,0,0,51.75
31,3.08,0,0,0,350.8,353.75,0,0,52.0
32,3.0999999999999996,0,0,0,346.86,350.0,0,0,47.25
33,3.12,0,0,0,343.52,346.75,0,0,62.25
34,3.2199999999999998,0,0,0,345.96000000000004,349.0,0,0,56.25
35,3.3,0,0,0,357.70000000000005,361.0,0,0,63.75
36,3.12,0,0,0,350.62,353.5,0,0,70.75
37,3.34,0,0,0,340.12,343.25,0,0,67.0
38,3.4800000000000004,0,0,0,344.36,348.0,0,0,51.0
39,3.1799999999999997,0,0,0,387.06,390.25,0,0,65.0
40,3.2,0,0,0,340.9,344.25,0,0,103.75
41,3.3,0,0,0,323.84000000000003,327.25,0,0,55.75
42,3.0999999999999996,0,0,0,204.88,208.0,0,0,46.75
