Step,Computing,Communication(Not Overlapped),Overlapped,Communication,Free,Stage,Bubble,Communication(Not Overlapped and Exclude Receive),Preparing
13,23.68,0,0,0,372.2,395.75,0,0,79.25
14,24.200000000000003,0,0,0,388.41999999999996,412.75,0,0,51.25
15,23.96,0,0,0,363.78,387.5,0,0,93.0
16,24.0,0,0,0,353.46,377.5,0,0,65.25
17,23.88,0,0,0,387.79999999999995,411.75,0,0,57.25
18,24.0,0,0,0,342.82000000000005,366.75,0,0,80.25
19,24.099999999999998,0,0,0,352.46000000000004,376.75,0,0,57.5
20,24.02,0,0,0,364.86,388.75,0,0,51.25
21,23.92,0,0,0,365.3,389.25,0,0,67.5
22,24.099999999999998,0,0,0,361.88,386.0,0,0,58.5
23,23.52,0,0,0,353.62,377.25,0,0,73.0
24,24.02,0,0,0,366.15999999999997,390.25,0,0,67.5
25,23.92,0,0,0,363.74,387.75,0,0,76.75
26,24.08,0,0,0,335.58,359.75,0,0,57.5
27,23.48,0,0,0,339.53999999999996,363.0,0,0,55.0
28,23.66,0,0,0,345.53999999999996,369.25,0,0,51.5
29,23.64,0,0,0,344.03999999999996,367.75,0,0,62.5
30,23.48,0,0,0,338.72,362.0,0,0,51.75
31,23.240000000000002,0,0,0,357.79999999999995,381.0,0,0,55.25
32,23.68,0,0,0,345.74,369.5,0,0,75.75
33,23.52,0,0,0,345.78,369.0,0,0,59.25
34,23.46,0,0,0,334.46,358.0,0,0,57.0
35,23.419999999999998,0,0,0,340.7,364.0,0,0,51.75
36,23.52,0,0,0,374.53999999999996,398.25,0,0,56.75
37,23.42,0,0,0,338.58,362.0,0,0,67.75
38,23.580000000000002,0,0,0,349.03999999999996,372.75,0,0,50.5
39,23.439999999999998,0,0,0,347.44,371.0,0,0,58.5
40,23.3,0,0,0,367.86,391.25,0,0,70.5
41,23.34,0,0,0,345.42,368.75,0,0,64.25
42,23.52,0,0,0,207.82,231.5,0,0,51.5
