Step,Computing,Communication(Not Overlapped),Overlapped,Communication,Free,Stage,Bubble,Communication(Not Overlapped and Exclude Receive),Preparing
13,24.14,0,0,0,357.02,381.0,0,0,104.0
14,24.060000000000002,0,0,0,325.38,349.5,0,0,74.75
15,23.84,0,0,0,326.48,350.5,0,0,66.5
16,23.94,0,0,0,335.64,359.75,0,0,69.0
17,24.06,0,0,0,304.98,329.0,0,0,78.5
18,24.020000000000003,0,0,0,315.46,339.5,0,0,58.25
19,23.92,0,0,0,343.46000000000004,367.25,0,0,53.75
20,24.2,0,0,0,312.94,337.0,0,0,77.5
21,23.98,0,0,0,305.52,329.5,0,0,53.5
22,23.78,0,0,0,310.8,334.5,0,0,51.75
23,23.68,0,0,0,329.70000000000005,353.25,0,0,56.0
24,23.92,0,0,0,299.2,323.0,0,0,62.0
25,23.86,0,0,0,321.22,345.0,0,0,55.75
26,23.860000000000003,0,0,0,316.56,340.5,0,0,68.0
27,23.599999999999998,0,0,0,333.86,357.25,0,0,64.0
28,23.380000000000003,0,0,0,305.24,328.75,0,0,68.0
29,23.6,0,0,0,313.06,336.75,0,0,50.0
30,23.5,0,0,0,319.36,342.75,0,0,58.0
31,23.599999999999998,0,0,0,330.2,354.0,0,0,74.25
32,23.6,0,0,0,318.94,342.5,0,0,68.0
33,23.740000000000002,0,0,0,310.64,334.25,0,0,65.25
34,23.5,0,0,0,310.88,334.5,0,0,54.0
35,23.44,0,0,0,323.54,347.0,0,0,51.5
36,23.4,0,0,0,303.56,327.0,0,0,67.75
37,23.5,0,0,0,311.7,335.0,0,0,52.0
38,23.38,0,0,0,303.66,327.25,0,0,60.0
39,23.22,0,0,0,313.65999999999997,336.75,0,0,52.75
40,23.3,0,0,0,307.88,331.25,0,0,62.75
41,23.2,0,0,0,309.06,332.25,0,0,53.0
42,23.48,0,0,0,193.46,216.75,0,0,52.75
