Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,Add,AI_VECTOR_CORE,30,51.4,1.52,1.713,2.08,54.658
0,triton_kernel_add,AI_VECTOR_CORE,30,42.64,1.32,1.421,1.56,45.342
