Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclnnBitwiseOrTensor,418.29,30,13.943,9.76,27.37,23.667
host,acl,aclrtSynchronizeDeviceWithTimeout,49.22,1,49.22,49.22,49.22,0
host,node,launch,492,60,8.2,4.91,21.35,14.58
