OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
LogicalOr,AI_VECTOR_CORE,30,53.12,1.56,1.77,2.22,55.916
triton_kernel_or,AI_VECTOR_CORE,30,41.88,1.3,1.396,1.58,44.084
