Step,Computing,Communication(Not Overlapped),Overlapped,Communication,Free,Stage,Bubble,Communication(Not Overlapped and Exclude Receive),Preparing
13,3.8000000000000003,0,0,0,373.5,377.25,0,0,110.75
14,3.52,0,0,0,346.88,350.25,0,0,71.0
15,3.44,0,0,0,361.79999999999995,365.25,0,0,61.0
16,3.56,0,0,0,330.53999999999996,334.0,0,0,81.0
17,3.62,0,0,0,373.2,377.0,0,0,56.0
18,3.6,0,0,0,330.58,334.25,0,0,82.75
19,3.68,0,0,0,362.68,366.5,0,0,67.5
20,2.9000000000000004,0,0,0,348.8,351.5,0,0,77.5
21,2.96,0,0,0,353.56,356.25,0,0,60.25
22,3.08,0,0,0,363.46000000000004,366.5,0,0,70.5
23,2.98,0,0,0,337.0,340.0,0,0,78.5
24,2.96,0,0,0,363.28,366.25,0,0,67.75
25,2.98,0,0,0,339.06,342.0,0,0,73.5
26,3.1399999999999997,0,0,0,335.1,338.25,0,0,59.5
27,3.2,0,0,0,352.22,355.5,0,0,51.0
28,3.02,0,0,0,348.28,351.25,0,0,66.0
29,3.02,0,0,0,343.54,346.5,0,0,69.0
30,3.08,0,0,0,354.2,357.25,0,0,59.5
31,3.04,0,0,0,361.28,364.25,0,0,68.75
32,3.1799999999999997,0,0,0,338.0,341.25,0,0,71.75
33,3.16,0,0,0,584.6800000000001,588.0,0,0,63.25
34,3.0,0,0,0,349.65999999999997,352.5,0,0,80.0
35,2.92,0,0,0,348.9,351.75,0,0,61.0
36,3.04,0,0,0,357.9,361.0,0,0,60.75
37,3.04,0,0,0,326.2,329.25,0,0,76.75
38,3.12,0,0,0,354.44,357.75,0,0,53.5
39,3.0999999999999996,0,0,0,358.4,361.5,0,0,63.25
40,2.88,0,0,0,352.41999999999996,355.5,0,0,76.75
41,2.8600000000000003,0,0,0,373.53999999999996,376.25,0,0,68.75
42,3.12,0,0,0,186.78,190.0,0,0,57.5
