Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,Add,AI_CPU,30,1038.82,27.24,34.627,50.02,95.357
0,triton_kernel_add,AI_VECTOR_CORE,30,50.58,1.48,1.686,1.9,4.643
