Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,LogicalOr,AI_VECTOR_CORE,30,52.6,1.6,1.753,2.1,56.161
0,triton_kernel_or,AI_VECTOR_CORE,30,41.06,1.28,1.368,1.52,43.839
