Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclnnBitwiseOrTensor,389.9,30,12.997,8.51,21.62,14.119
host,acl,aclrtSynchronizeDeviceWithTimeout,55.7,1,55.7,55.7,55.7,0
host,node,launch,438.46,60,7.308,4.37,17.68,10.277
