OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
Add,AI_VECTOR_CORE,30,56.168,1.664,1.872,2.32,54.469
triton_kernel_add,AI_VECTOR_CORE,30,46.952,1.44,1.565,1.776,45.531
