Step,Computing,Communication(Not Overlapped),Overlapped,Communication,Free,Stage,Bubble,Communication(Not Overlapped and Exclude Receive),Preparing
13,3.904,0,0,0,505.79200000000003,509.75,0,0,184.0
14,3.92,0,0,0,356.024,360.0,0,0,88.25
15,3.936,0,0,0,381.264,385.25,0,0,63.0
16,4.056,0,0,0,335.464,339.25,0,0,78.0
17,4.096,0,0,0,342.584,346.5,0,0,56.75
18,3.2,0,0,0,380.48,383.75,0,0,47.5
19,3.8000000000000003,0,0,0,404.616,408.25,0,0,54.75
20,3.3040000000000003,0,0,0,399.536,402.75,0,0,59.75
21,3.528,0,0,0,341.592,345.25,0,0,71.75
22,3.44,0,0,0,368.52,371.75,0,0,58.75
23,3.104,0,0,0,376.67999999999995,380.0,0,0,62.0
24,3.176,0,0,0,374.704,377.75,0,0,58.0
25,3.3040000000000003,0,0,0,357.832,361.25,0,0,61.5
26,3.2,0,0,0,351.28,354.5,0,0,66.75
27,3.424,0,0,0,382.84000000000003,386.25,0,0,54.0
28,3.44,0,0,0,345.24,348.5,0,0,64.5
29,3.3600000000000003,0,0,0,323.44,326.75,0,0,65.0
30,3.3760000000000003,0,0,0,363.224,366.5,0,0,48.0
31,3.2560000000000002,0,0,0,364.52,367.75,0,0,54.25
32,3.224,0,0,0,317.96000000000004,321.0,0,0,89.25
33,3.3200000000000003,0,0,0,393.216,396.75,0,0,68.5
34,3.3200000000000003,0,0,0,336.72,340.25,0,0,105.0
35,3.4240000000000004,0,0,0,332.536,336.0,0,0,88.75
36,3.5199999999999996,0,0,0,352.304,356.0,0,0,61.0
37,3.24,0,0,0,343.93600000000004,347.0,0,0,60.0
38,3.168,0,0,0,367.91200000000003,371.25,0,0,49.5
39,3.224,0,0,0,365.84000000000003,369.0,0,0,59.25
40,3.232,0,0,0,351.488,354.75,0,0,60.5
41,3.2800000000000002,0,0,0,398.696,402.0,0,0,55.25
42,3.3440000000000003,0,0,0,180.56,183.75,0,0,101.0
